etsén,v.,,,,
etsëëh,v_p.         ni: etsëh.       netsëh n.,ni: etsëh,,,
etsëëh[LE7],n.,,,,
ets'ëëk,v.         ni: etsëëg.         est;hab: etsëk.,ni: etsëëg,est;hab: etsëk,,
ets'iip,v.         ni: etsiib.,ni: etsiib,,,
etsip,v.         ni: etsib.[LE8],ni: etsib,,,
etsóós,v.         ni: etsó[LE9]s.,ni: etsó[LE9]s,,,
euh,v.,,,,
ewäh,v.         s: awäng.         caus: aw'ääh.,s: awäng,caus: aw'ääh,,
eween,v.,,,,
ewen,"v.	ni: eween",ni: eween,,,
ewẽn,v.,,,,
ewẽs,v.         ni: ewtẽts.         est;hab: ew'ẽẽs.,ni: ewtẽts,est;hab: ew'ẽẽs,,
ewëëh,v_p.         ni: ewäh.         s: aeh.,ni: ewäh,s: aeh,,
ewëëk,v.,,,,
ewëën,v.        h'yyb ewëën v.,,,,
ew'ëës,v.         ni: ewëëts.,ni: ewëëts,,,
ewëh,v.         ni: ewëë/h.,ni: ewëë/h,,,
ewi,v.        ni: ewii.,ni: ewii,,,
ewih v,onom.,,,,
ewin,v.         ni: ewiin.,ni: ewiin,,,
ewip,"v. 	ni: hewiip.",ni: hewiip,,,
ewõng,v.         ni: ewõõh.         causcom: mew'õõh.,ni: ewõõh,causcom: mew'õõh,,
ewoonh,v.         ni: ewooj.       nawój n.,ni: ewooj,,,
ew'oonh,v.         ni: ewój.,ni: ewój,,,
ew'oop,v.         ni: ewoob.         est;hab: ewop.,ni: ewoob,est;hab: ewop,,
ewyt,v.         ni: ewyd.       k'ããts nawyyd n'aa n.        hew'yyt doo n.,ni: ewyd,,,
eỹỹm,"v.         caus: e'ỹỹm.         ni: eỹm.	é",caus: e'ỹỹm,ni: eỹm,,
éj,"intj.	ë",,,,
ëën,"n. 	1s poss: ä̃n ỹỹ.",1s poss: ä̃n ỹỹ,,,
ër,"pro. 	emph: ëër.	G",emph: ëër,,,
gããnh,v.         ni: ããj.,ni: ããj,,,
g'aad,n.,,,,
g'aad hẽnh,adv op.,,,,
gaag,n.,,,,
gããj,n. esp.,,,,
g'aap,adv.,,,,
gäb,n. esp.,,,,
gabaanh,v.         ni: gabaaj.,ni: gabaaj,,,
gab'aap,v.,,,,
gababom,v.         ni: gababoow.,ni: gababoow,,,
gababuu,n.,,,,
gabahë,v.         ni: gabahëë.,ni: gabahëë,,,
gabaho,v.         ni: gabahoo.       du gabaho v.,ni: gabahoo,,,
gabapõõm,v.         ni: gabapõõw.,ni: gabapõõw,,,
gabarëëh,v.         ni: gabar'ëëng.       ty gabarëëh v.,ni: gabar'ëëng,,,
gabej'iik,v.         ni: gabejiig.         est;hab: gabejik.       ty gabej'iik v.,ni: gabejiig,est;hab: gabejik,,
gabuuj,n.,,,,
gada,v.         ni: gadaa.         p: geda.         ext: ged'aa.       gameda v.,ni: gadaa,p: geda,ext: ged'aa,
gadagyp,v.         ni: gadagyb.,ni: gadagyb,,,
gadajong,"v. 	ni: gadajoo.       madajong v.",ni: gadajoo,,,
gadajung,v.         ni: gadajuu.       ty gadajung v.,ni: gadajuu,,,
gadäk,v.         ni: gadäg.,ni: gadäg,,,
gadap'aah,v.         ni: gadapaang.       kadep'aah v.,ni: gadapaang,,,
gadarãng,v.         ni: gadarããh.,ni: gadarããh,,,
gadarong,v.         ni: gadaroo.,ni: gadaroo,,,
gadas,v.         ni: gadats.       nu gadas v.,ni: gadats,,,
gadasũũt,v.         ni: gadas'ũũd.,ni: gadas'ũũd,,,
gadawan,v.,,,,
gadẽẽ,v.         ni: gad'ẽẽ.,ni: gad'ẽẽ,,,
gadehew'ëës doo,n.,,,,
gaderoh doo,n.,,,,
gades'ããm,v.,,,,
gadëëg,n op.,,,,
gadoo,v.         ni: gado.,ni: gado,,,
gadóm,v.[LE10],,,,
gadyy,v.         ni: gad'yy.        byy gadyy v.,ni: gad'yy,,,
gag,n.,,,,
gagããm,v.         ni: gag'ããw.,ni: gag'ããw,,,
gagod,n op.,,,,
gagoos,v.         ni: gagóts.,ni: gagóts,,,
gaha,v.,,,,
gahäng,v.,,,,
gahät,v.         ni: gahäd.,ni: gahäd,,,
gahet,v.         ni: gahed.       moo gahet v.,ni: gahed,,,
gahëën,v.,,,,
gahod,n op.,,,,
gahõk,v.         ni: gahõg.         p: gehõk.         hab: gaheh'õõk.       byy hõk v.        nu gahõk v.         ni: nu gahõg.       wog gahõg nyyh v.,ni: gahõg,p: gehõk,hab: gaheh'õõk,ni: nu gahõg
gahõõh,v.         ni: gahõ/h.,ni: gahõ/h,,,
gahõõp,v.         ni: gah'õõb.,ni: gah'õõb,,,
gahoot,v.         ni: gah'ood.[LE11],ni: gah'ood,,,
gahot,v.         ni: gahod.,ni: gahod,,,
