sense_id,pos,gloss,def,reverse,note
f607def6-b1c8-48ba-b317-5b53c0c63def,Noun,"{'en': 'maize', 'pt': 'milho'}","{'en': 'maize', 'pt': 'milho'}","[('milho', 'pt'), ('maize', 'en')]",
f6dfd01c-5879-4c4c-9632-14981c14bdb8,Noun,"{'en': 'fishing.bait', 'pt': 'isca'}","{'en': 'bait for fishing', 'pt': 'isca /  minhoca'}",,
034a0409-242f-4bb1-a927-c33794ddb359,n op,{'pt': 'nádegas'},{'pt': 'nádegas; assento; começo; nício'},,
fb5814dc-f021-4a7b-9d1d-f915783599a7,n,"{'en': 'banana', 'pt': 'banana'}","{'en': 'banana', 'pt': 'banana'}","[('banana', 'en'), ('banana', 'pt')]",
836ad4c9-a6c7-4f78-a151-73df4f95dc80,Noun,"{'en': 'louse', 'pt': 'piolho'}","{'en': 'louse', 'pt': 'piolho'}",,
c9a3c10b-6b24-4630-9530-07df88a2fd2b,n,{'pt': 'banco'},{'pt': 'banco; mesa; soporte'},,
1d62e6b1-ad58-4a66-96a1-42b8b5d662e0,Noun,"{'en': 'horse', 'pt': 'cavalho'}","{'en': 'horse', 'pt': 'cavalho'}",,
34330419-dc42-43bc-ab6b-d5dc2d38c9f4,Verb,"{'en': 'throw', 'pt': 'jogar'}","{'en': 'throw', 'pt': 'jogar'}",,
c3226410-55bc-4a39-b5d5-665bccb6854d,v,{'pt': 'espalhar'},{'pt': 'espalhar; empurrar'},,
dcfab601-614d-4575-a398-e017af602de9,Noun,"{'en': 'father', 'pt': 'pai'}","{'en': 'father', 'pt': 'pai'}",,
36fbdbda-1ed2-467b-bd58-07e8fc91c667,v,{'pt': 'balançar.na.rede'},{'pt': 'balançar na rede'},,
7d518733-f39a-48c8-aaca-fa05792a8534,n,{'pt': 'xerimbabo'},{'pt': 'xerimbabo'},,
1df41774-55b8-4973-9205-89e0e4227579,Adverb,"{'en': 'other', 'pt': 'outro'}","{'en': 'other', 'pt': 'outro'}",,
42ca101b-9b7b-44a3-bba8-06371025ae57,Noun,"{'en': 'bed', 'pt': 'cama'}","{'en': 'bed', 'pt': 'cama'}",,
65e77116-ae98-458d-adc0-4fe54f86f75c,par,{'pt': 'na.qual.de'},{'pt': 'na qualidade de; finalidade'},,
a9305d63-b9fb-4256-bac0-17c01afd996b,Noun,"{'en': 'fire.ant', 'pt': 'formiga.de.fogo'}","{'en': 'fireant', 'pt': 'formiga de fogo'}",,
11fdfbfa-53aa-48c9-aafc-e5d7e21ee9b4,n,{'pt': 'companheiro'},{'pt': 'companheiro'},,
f2d07da7-9c0b-4bd0-831d-65b21f468c5e,Noun,{'en': 'centopéia'},,,
72733021-466a-4a16-94e5-d21941dcf352,Noun,"{'en': 'chili.pepper', 'pt': 'pimenta'}","{'en': 'chili pepper', 'pt': 'pimenta'}",,
b332b324-ee35-454a-b08f-5fd45203d43e,n,{'pt': 'tio'},{'pt': 'tio (irmão do pai)'},,
6eb011c0-fcdb-4af8-af50-6a4126655604,?,{'pt': '?'},{'pt': '?'},,
90df5cd2-6fb0-422e-9809-9feb6df2f090,Noun,{'en': 'embrulho de folha'},,,
a77ea7bf-f7f2-4dc0-8588-ce5cafa93507,v,{'pt': 'vir.vezes'},{'pt': 'vir várias vezes'},,
c7a2c4a8-ff89-487f-864a-c17e145afd69,Noun,{'en': 'espécie de formiga'},,,
2b775815-ec9a-42e8-9363-9942211f79b4,Noun,{'en': 'surucuá'},,,
23c728ee-f682-4321-a428-e44f46b16f56,,"{'en': 'true', 'pt': 'verdade'}","{'en': 'true', 'pt': 'verdade'}",,
d952b179-0464-4d63-a82b-0f5454c00d36,Noun,{'en': 'umbigo'},,,
95d309a8-a9c1-4233-9460-e9a32e63560f,v p,{'pt': 'têm'},{'pt': 'têm; existir p.'},,
3522cb26-4f57-44c7-a8cc-ac4d324a6079,Verb,{'en': 'go.downriver'},,,
