headword,ipa,entry_id,matches
hajʹaa,haja̰:,hajʹaa_0e588062-5b1b-40b9-be20-57b3c3c79c71,"[('ja̰ːʔ', 'ja̰ːʔ_6b9116ec-f02f-4b64-8159-8be45e5e7321', 1.0), ('jaah', 'jaah_73c5535f-972b-4711-b80a-904d9c468a08', 0.875), ('j’aa', 'j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378', 1.0), ('hajaar', 'hajaar_8214f460-f0df-4453-97a7-9b50fa6d0cb4', 0.875)]"
toog,to:g,toog2_0f2dbd4f-1cba-4a76-b278-c720efdc0c0f,"[('toog', 'toog1_fc56d0a8-16ea-459f-9fff-c846b615c3e0', 1.0)]"
tarabʹiir,tarabḭ:r,tarabʹiir_0f63a383-1083-460b-8cde-add3326cf317,[]
wäd,wʌd,wäd_0fb08e70-34d6-402e-9b3a-7a92602c7e34,[]
pʹõõd,po̰:̃d,pʹõõd_10e5af7f-29aa-4fa9-82c9-8ab0dadec296,[]
hebyng,hebɨŋ,hebyng_10ea8764-3f35-4c12-b0fa-45c072085373,[]
uuh,u:h,uuh_1173027f-de25-43fe-b73c-8e947d64965d,"[('duuh', 'duuh_1c1e2650-1809-4f40-a148-33b3a990262f', 0.8571428571428571), ('nuuh', 'nuuh_98b2fa13-5514-4958-bbe6-86001f73c6a4', 0.8571428571428571), ('duːh', 'duːh2_8cad8cbe-211f-4aa3-bd6e-b9d4d6bcebb8', 0.8571428571428571)]"
kas’aag,kaʃa̰:g,kas’aag_1174c294-d1e6-4e74-8fae-7bf655663f34,[]
jawëk,jawək,jawëk_11b99d8c-9b68-4e6b-869d-e3530425e72b,"[('jawyk', 'jawyk_4e1f40a1-8c39-45c3-86b9-92a152d8e952', 0.9)]"
hatsẽs,hatʃẽʃ,hatsẽs_12db76ea-c8ac-4f15-89a5-0229f5a6c28b,[]
akyd,akɨd,akyd_12fe21f8-bb0e-4ae4-b9d8-6a5754cbcb92,[]
