entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,bibliography,other_sources
kaʃṵ:t_8f5945ef-1d1b-4b9e-85343cf3147fa00a,kaʃṵ:t,stem,kaʃṵ:t,{},"{'kasʹuut_8f5945ef-1d1b-4b9e-8534-3cf3147fa009': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['74b8b567-2fbc-49cb-a9c5-c6fceb662737'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'kasʹuut'}
kajarẽ:_8f8e0285-0789-4ee6-8f8b3cb37c8699fa,kajarẽ:,stem,kajarẽ:,{},"{'kajarẽẽ_8f8e0285-0789-4ee6-8f8b-3cb37c8699f9': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['9eb27a7f-abaf-49a4-9779-e2d05d98a8f9'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'kajarẽẽ'}
do:_8f96a134-db02-4580-a0d5599f0a181e2,do:,stem,do:,{},"{'doo4_8f96a134-db02-4580-a0d5-0599f0a181e1': {'type': '_component-lexeme', 'variant-type': 'Weir 1986; Weir 1990'}}",{'Note': 'Predicted phonemic form from source Weir.'},['b36a187e-5829-4fd1-9714-474ec69e016f'],2018-06-20T05:09:54Z,Weir 1986; Weir 1990,{'Weir': 'doo'}
ʃarahõd_8fbb70f8-e0fa-479b-b5587fd970830bec,ʃarahõd,stem,ʃarahõd,{},"{'sarahõd_8fbb70f8-e0fa-479b-b558-7fd970830beb': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['3b3a388c-65d7-41e6-9270-16d136336f1e'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'sarahõd'}
ʃim_8fcc8ace-4a78-4e08-b476999f1c035aad,ʃim,stem,ʃim,{},"{'ʃim_8fcc8ace-4a78-4e08-b476-999f1c035aac': {'type': '_component-lexeme', 'variant-type': 'Martins'}}",{'Note': 'Predicted phonemic form from source Martins.'},['3d035500-87f7-4b30-b7eb-17c74c6e0f6b'],2018-06-20T05:09:53Z,Martins,{'Martins': 'ʃim'}
wojapəm_90933864-369d-4eee-b3c2cdc2141a85b3,wojapəm,stem,wojapəm,{},"{'wojapəm_90933864-369d-4eee-b3c2-cdc2141a85b2': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{'Note': 'Predicted phonemic form from source Barbosa.'},['c238bad4-14b9-4793-bde2-19e5914d8a2b'],2018-06-20T05:09:54Z,Barbosa,{'Barbosa': 'wojapəm'}
hado:_91228118-6e36-4bb1-8876c6ca8cf2491e,hado:,stem,hado:,{},"{'hadoo_91228118-6e36-4bb1-8876-c6ca8cf2491d': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['5394f9cf-abdc-4e3e-a300-29ef95af4cd3'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'hadoo'}
cɨ̃m gapɛd_923b7333-4f71-4df4-969ca7edf22922aa,cɨ̃m gapɛd,phrase,cɨ̃m gapɛd,{},"{'ɟɨ̃m gapɛd_923b7333-4f71-4df4-969c-a7edf22922a9': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{'Note': 'Predicted phonemic form from source Barbosa.'},['95ef8b75-bfb5-4e1b-ab43-66fcb3443d61'],2018-06-20T05:09:54Z,Barbosa,{'Barbosa': 'ɟɨ̃m gapɛd'}
ʃa_9258a56c-b681-4637-922dc15c3cc4d778,ʃa,stem,ʃa,{},"{'sa_9258a56c-b681-4637-922d-c15c3cc4d777': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['4f7f47b8-b326-4da4-92a7-42a2292270f8'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'sa'}
heho̰:ʃ_926b4665-f0d5-44ff-a36cdeda9950778b,heho̰:ʃ,stem,heho̰:ʃ,{},"{'hehʹoos_926b4665-f0d5-44ff-a36c-deda9950778a': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{'Note': 'Predicted phonemic form from source Sil Dict 2011.'},['b63b5337-2f97-4c38-a4cc-335c7d99ee77'],2018-03-08T07:17:53Z,SIL Dict 2011,{'Sil Dict 2011': 'hehʹoos'}
