entry_id,status,matches
nyy1_643d5c8a-5d5e-45f2-8593-948d3196fec9,,"{'nyy_643d5c8a-5d5e-45f2-8593-948d3196fec9': ('nyy', 1.0), 'nɨ:h_2eb06a57-667e-43a7-a53b9905edcdca90': ('nɨ:h', 0.9285714285714286)}"
akaja_661cf15c-fe73-4d92-997c-a7572c531f9b,,"{'kaja_661cf15c-fe73-4d92-997c-a7572c531f9b': ('kaja', 0.8888888888888888)}"
nyyts_6764351b-0ba4-40fa-a5e6-97cb0ce7b83f,,"{'nyy_643d5c8a-5d5e-45f2-8593-948d3196fec9': ('nyy', 0.8571428571428571)}"
t&apos;õõm_6945fd07-f2f1-4af1-a00a-c25ab150e2a3,,"{'t’õõm_3cdcf804-ed94-4d32-8388-d8ed3cf4b239': ('t’õõm', 1.0), 'tɔ̰̃ːm2_f647e473-9fc9-480b-8c69-61c9bb1a68d5': ('tɔ̰̃ːm', 0.9166666666666666), 'tɔ̰̃:m_d95571f5-ea34-4361-bbc3460b2723ced7': ('tɔ̰̃:m', 0.9166666666666666)}"
gãã_6a465dca-9d3c-48a7-b70a-23b463f0896c,,"{'ga:h_a3c75190-8a05-4f88-928ab902d20e8ad1': ('ga:h', 0.875)}"
puud_6aac88b8-8517-4460-9bb1-0a8642d54dab,,"{'pud_bc1dd6d3-4e78-41a7-888f-9200c232f3bc': ('pud', 0.9285714285714286)}"
ba1_6b7a5021-dce2-4c28-9d18-c59209596756,,"{'ba_6b7a5021-dce2-4c28-9d18c59209596757': ('ba', 1.0)}"
jõ_6bd57da2-d0d4-485e-99cf-70d3bfdd204b,,"{'jõŋ_35e20f56-2cd9-4561-a9a450ff279c8974': ('jõŋ', 0.8571428571428571)}"
tug1_6c751529-23ec-405f-bec2-ac9a1cd2a826,,"{'tug_6c751529-23ec-405f-bec2ac9a1cd2a827': ('tug', 1.0)}"
ỹỹm2_6df4a3ea-6f27-4a2f-b09a-82cb9d62d1a3,,"{'ỹỹ3_1fab850f-da95-4fff-8e60-596d84365d2f': ('ỹỹ', 0.8571428571428571), 'ỹỹ1_69bb7e8c-5cfd-44b4-ae68-52a804cc60ed': ('ỹỹ', 0.8571428571428571), 'mỹỹm_97557290-0196-462e-8057-e1ef84dc9ee7': ('mỹỹm', 0.8888888888888888), 'ỹỹm3_be33ca3b-f6a1-4066-b50a-97e305ec90bb': ('ỹỹm', 1.0), 'eỹỹm_db33bb76-0902-4cd5-a8db-eb1f7bdaefba': ('eỹỹm', 0.8888888888888888), 'ɨ̃:_940740bd-e5dd-4023-b3e383d09a805728': ('ɨ̃:', 0.8571428571428571), 'ɨ̃:m_b7f8608c-1aaa-4014-b04d968cde2f7f88': ('ɨ̃:m', 1.0)}"
ti1_6e529536-55b7-49da-b65f-093cf90a0686,,"{'tii2_d3db1b0f-4558-4e63-94dc-a2d6b0d31def': ('tii', 0.9)}"
