entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
wao taah_002ca005-1366-4a7b-aff1-ac10db10b768,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,wao taah,phrase,,,waʔoʔ ta:h,['802366cc-fff6-4c35-bff4-a403f4b4130d'],,{}
dahegʹõõn_0062786c-16c2-4325-b3e4-fac26c159e80,SIL Dict 2011,2018-03-08T07:17:53Z,,dahegʹõõn,stem,{},,dahegõ̰:n,,,"{'6d128d41-81a3-471c-9d02-f855e642415a': {'type': '_component-lexeme', 'variant-type': 'Habitual'}}"
dabëëh_01834ee1-a032-4bfb-8827-07f2ace9c99f,SIL Dict 2011,2018-03-08T07:17:52Z,,dabëëh,stem,{},,dabə:h,,,"{'af5b17b1-8339-44fa-aace-571fa3b52be2': {'type': '_component-lexeme', 'variant-type': 'Causativo'}}"
janooh_022d930d-b619-4a77-8ff4-fa5ea30739e8,Fieldnotes Epps/Obert; 2018,2018-07-07T20:57:29Z,,janooh,stem,{},,jaˈno:h,['9e409799-d500-44e1-97b4-66925497edde'],,{}
p’aa hẽnh_022f0eb2-2301-40e8-809c-927ccebeff3c,Fieldnotes Epps/Obert; 2018,2018-07-15T20:18:56Z,,p’aa hẽnh,phrase,,{'Sil Dict 2011': 'pʹaa hẽnh'},paʔaʔ hẽɲ,['3954f8c6-283b-4e9f-a9b1-5e9ea6096fcc'],"{'pʹaa hẽnh_988a43b7-7d72-4d87-be1d-c63c761e1dc2': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",{}
dajëp_024eb574-aa9a-4bea-adc6-12857406c334,Fieldnotes Epps/Obert; 2018,2018-07-10T00:09:23Z,,dajëp,stem,{},,daˈjǝp˺,['a8675526-039d-459c-b4c8-c3434645200d'],,{}
tawarẽẽh1_025c1d2a-ce6b-4f4a-89c6-58f7995ce55a,Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,tawarẽẽh,stem,{},,tawaˈɾẽ:ʔ,['edf56ebd-dec5-40c2-8444-09892cd2d358'],,{}
h’ëëd_025fec92-6af8-4d61-8544-bdb0e0362545,Epps/Obert Fieldnotes 2018,2018-07-11T00:00:38Z,2020-01-08T19:24:50Z,h’ëëd %OR% h'ëëd,stem,{'bibliography': 'Fiednotes Epps/Obert; 2018'},{'Sil Dict 2011': 'hʹëëd'},hǝʔǝd˺ %OR% hǝʔǝd˺,"['82d7231c-5f51-4860-90b3-f2da90deba51', '82d7231c-5f51-4860-90b3-f2da90deba51']","{'hʹëëd2_9e74513c-440f-4e3d-9106-81f0bcd89d90': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}, 'hʹëëd1_a60368d9-bc6d-49b9-aeef-eaa8980142fa': {'type': '_component-lexeme', 'variant-type': 'SIL Dict 2011'}}",
atsóm_02a79639-e72e-482a-98fe-e2a3e76d3f81,Fieldnotes Epps/Obert; 2018,2018-07-10T23:19:31Z,,atsóm,stem,{},,ʔaˈɉ’ɔbm,['4bcb3e10-ba0a-4e58-8984-5b1a542a42f6'],,{}
jeer2_02adeefa-c0e5-4849-95e7-63f3e5494313,Fieldnotes Epps/Obert; 2018,2019-01-14T03:46:55Z,,jeer,stem,,,je:ɾᵊ,['fd9458ea-4516-48d8-9157-9c632b036e29'],,{}
keroo_0309e768-1308-4e05-955c-92fa27bdc0b1,Fieldnotes Epps/Obert; 2018,2018-07-27T20:28:41Z,,keroo,stem,{},,,['1813965a-b95a-4afb-8608-7bea9a3fbed4'],,{}
naëng_031a7339-0644-4618-af27-88f71d6565db,SIL 2011; Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,naëng,stem,{},{'Barbosa': 'naʔəŋ'},naˈʔǝgŋ,"['160c0f30-fdd5-45bb-9b4d-12f03592f4ea', 'da503054-2051-4953-ab79-1f3b7bef531f']","{'naʔəŋ1_6a936ca2-4b81-4ef8-9523-96493e28028f': {'type': '_component-lexeme', 'variant-type': 'Barbosa', 'summary': 'água'}, 'naʔəŋ2_53d64a2f-8e76-45e0-912f-3064e781e9fa': {'type': '_component-lexeme', 'variant-type': 'Barbosa'}}",{}
gajʹeej_0370d9a3-7912-458c-bb70-6097fb5de782,SIL Dict 2011,2018-03-08T07:17:53Z,,gajʹeej,stem,{},,gajḛ:j,,,"{'f7801daa-0d39-48f9-9f63-f852c4125e16': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
kawa_0431db34-f253-491d-bb2e-bcb885fdcd8d,Fieldnotes Epps/Obert; 2018,2018-07-09T13:45:32Z,,kawa,stem,{},,kaˈwaʔ,['baa0255c-d216-40c6-9314-c2b8ae598c65'],,{}
noo keham_0456f9ea-7465-48e4-9c8e-0237e472be1c,Fieldnotes Epps/Obert; 2018,2018-07-10T23:43:22Z,,noo keham,phrase,{},,nɔ̃:keʔˈhabm,['67813880-b0ef-4e72-8cc0-55dda9bf5e6f'],,{}
asooh_045c762b-0b2e-4233-a013-7e921270d050,Fieldnotes Epps/Obert; 2018,2018-03-08T07:17:53Z,,asooh,stem,{},{'Weir': 'sooh'},ʔaˈʃo:h,['49d89e7e-ca3b-4eaf-970c-5112be5fc622'],"{'sooh_e9c38f60-21ca-4df6-98bc-73b6d002930b': {'type': '_component-lexeme', 'variant-type': 'Weir'}}",{}
ety_047db998-72df-46aa-a083-13e0b004ec6c,SIL Dict 2011,2018-03-08T07:17:52Z,,ety,stem,{},,etɨ,,,"{'9eb8fb8f-3e49-45aa-a76c-8512171d60e7': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}"
