entry_id,matches,def
awad3_62a55d3c-fa39-4a7a-8dbf-01f9b2c196bd,"{'awän_16edbafa-9f23-4587-bd92-330bd1726f90': ('awän', 'waterfall;cachoeira'), 'awät_94af7d8a-ba5e-4b2b-9ef7-cfa69923b978': ('awät', 'walk;andar')}",jaguar;onca
boog1_62ca10cf-1f6b-4649-90fa-b022c5c34283,"{'buŋ_5748fd7b-1d89-45b1-9f10c880f23bf816': ('buŋ', 'mutuca'), 'bu:k_b60c8d12-f0b8-4e0c-a1aa9a794fc0ebcc': ('bu:k', 'cipó.sp'), 'boog_62ca10cf-1f6b-4649-90fa-b022c5c34283': ('boog', 'bitter.manioc;maniva')}",bitter.manioc;maniva
nadëb1_64797e4a-07d3-4f0b-a899-0a27e395ea25,"{'nadëp_327fc9f7-ee23-4503-bfa4-af3406fd1684': ('nadëp', 'non.nadëb.person;pessoa.não.nadëb')}",nadëb;nadëb
sëëj2_676891fe-11be-4098-ba43-4c4bd187bf1f,"{'syyj_9f339257-1bc7-4ea1-897f-ad0099dbb709': ('syyj', 'grease;gordura'), 'saaj_dc3953b0-31fc-42e9-80cd-d36a8c270fb5': ('saaj', 'skirt;saia')}",scorpion;escorpião
ããh_687bdf1f-bff9-478e-97f1-33aacaf092cf,"{'ʌ̃h_76c0c9b7-a018-4dfc-914d28f21d9c1e81': ('ʌ̃h', 'dias')}",1PLexcl;1PLexcl
säg1_6a527141-817f-4a53-a47f-032cdbde864b,"{'tsäng_c466f8d0-c63e-4dce-83d9-8000648a6ee9': ('tsäng', 'clay;barro'), 'ʃʌg_2d575f27-16ba-4d8b-b93bc3707a2b03f9': ('ʃʌg', 'mandioca.massa'), 'ʃʌ̃k_9b694680-1ac9-4aca-a46437162aab0090': ('ʃʌ̃k', 'tamatá')}",old;velho
haa_6a83eb37-c1ab-4dc2-8210-1d9195abca43,"{'hëë_91665d7c-02fc-42cc-ac63-c3b81b7f4576': ('hëë', 'paddle;remo'), 'hã_394e29a8-d5e6-4ae4-ab8e521acec8fd7': ('hã', 'DAT'), 'ha1_d8ff5f99-7c38-4ed3-ae5a-ceba827841bf': ('ha', 'REL;REL')}",1sg.POSS.PL;1sg.POSS.PL
apëëh_6a9e3b06-de1f-422d-a058-053dfc248b66,"{'abə̰:h_61005ddd-f254-40c6-b2cd2f1a0e5ce7b5': ('abə̰:h', 'em.pé')}",green;verde
ag_702442e0-1dd7-4ab1-a6a8-7f142bf7e823,"{'ëk_ddd21a10-4d81-464a-a237-cf3195a8f0c5': ('ëk', 'gourd.dipper;cuia')}",fruit;fruta
jaah_73c5535f-972b-4711-b80a-904d9c468a08,"{'jëë_a0520e71-1c6b-440a-bfb4-073d8767e810': ('jëë', 'peach.palm;pupunha'), 'j’aa_b7a0d5d6-dde2-42b6-ab7b-0d0db44ad378': ('j’aa', 'faeces;fezes'), 'jʌ:_1616cced-2437-4bb6-b9cc463ba48ec04c': ('jʌ:', 'espécie de fruta'), 'jə:_2c080526-9fce-432c-a1b147f3bcf43968': ('jə:', 'close'), 'jʌh_b0d8a76b-9203-4a28-8c7fec22668b2dc1': ('jʌh', 'mira; alvo'), 'jə:h_d594696f-9f99-4a8a-bf42436ae849f0c6': ('jə:h', 'return n.i.'), 'jəŋ_df0ab2f6-c78d-4ce7-b9409f522b137faa': ('jəŋ', 'sapo.sp')}",who;quem
kaan_7614d499-7ba2-4fe8-8764-704e13c61d5f,"{'kad3_2bb9853a-cde8-48bc-bb30-42d80bf6419d': ('kad', 'pat.uncle;tio paterno'), 'kã̰:d_0e39e610-eab0-434f-95dba602eca2041e': ('kã̰:d', 'terra'), 'kʌn_b741c8ef-a073-4471-bcae5183a264d68': ('kʌn', 'DM'), 'g&apos;aad_ea94d6c7-c31e-417e-a17f-4f560dc6bffa': (""g'aad"", 'headwater;cabeçeira'), 'kën_6f5b9df8-599e-4700-8e19-161b33fa21a9': ('kën', 'INCHO;INCO')}",cacao;cacau
