headword,ipa,entry_id,matches
ʔɯm,ɨm,ʔɯm2_56948ee3-6282-4ea9-842f-46e5f2484283,"[('ʔɯm', 'ʔɯm1_73d74d6f-08f3-463a-adc3-37a43c4c0786', 1.0), ('ɨɨm', 'ɨɨm_d43b320e-3a28-431e-897d-97757c461f9f', 0.9)]"
tɨng,tɨŋ,tɨng2_5724ff6d-c354-4517-881f-ba3c003e92d2,"[('tɯ̰ːŋ', 'tɯ̰ːŋ_8809f33f-e595-4f96-8d4d-cd4b936414ca', 0.875), ('tɨːŋ', 'tɨːŋ_e2b5fecf-076d-455e-afca-70e5369e1d22', 0.9285714285714286), ('tyng', 'tyng_1ca2ceb7-661e-409f-8ba9-0beae1fb5929', 1.0)]"
wʹeets,wḛ:tʃ,wʹeets_574901cb-b566-4eb9-a4ef-ed3b3331ef75,"[('wɛːɟ', 'wɛːɟ_6884ab96-6eac-4ba5-928f-9d985edf2221', 0.8636363636363636), ('w’eets', 'w’eets _fcd31ae9-c266-4ab2-a2ef-60eb3eff61c3', 1.0)]"
garagoor,garago:r,garagoor_57e621a4-fa0b-4684-93a2-795b1b3fc912,"[('goːʔ', 'goːʔ_335d28a8-83a8-4e3e-9f34-2756b1b9ea7a', 0.8571428571428571), ('goor', 'goor_78eea66c-9fe0-4ee5-a7ca-79a089efa999', 1.0), ('gɔːɾ', 'gɔːɾ_cbc735ec-3a11-421f-82fa-4ca23abfd0c0', 0.875)]"
nuu me,nu: me,nuu me_5921bae6-4777-4444-be41-a1db8d4ba21d,"[('me', 'me3_55d072cd-437b-41d7-91ee-f93cf6856d86', 1.0), ('me', 'me1_69935547-234c-452b-a397-06c63051952f', 1.0)]"
baːh,ba:h,baːh_596a8d5b-6bfc-4eab-af6a-25899b14ff12,"[('bëëh', 'bëëh1_962a8de8-7f65-4e60-b8a4-c16d27943a32', 0.875), ('paah', 'paah_5d6b8726-aa64-4b93-9329-884a1e4b1af8', 0.875), ('bʹaah', 'bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d', 0.9444444444444444), ('bʉʉh', 'bʉʉh_48d9cff6-c6db-4cc8-83db-4adadfe1b13d', 0.875), ('bëëh', 'bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae', 0.875)]"
manɨh,manɨh,manɨh_59b15e4a-d1a6-4c95-a8b5-4554b63a4cf8,"[('nɨɨh', 'nɨɨh_2eb06a57-667e-43a7-a53b-9905edcdca8f', 0.9285714285714286)]"
bëëh,bə:h,bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae,"[('bʉʉh', 'bʉʉh_48d9cff6-c6db-4cc8-83db-4adadfe1b13d', 1.0), ('bëëh', 'bëëh1_962a8de8-7f65-4e60-b8a4-c16d27943a32', 1.0), ('byyh', 'byyh_c6283908-ed9f-4529-ab22-f0a452ed88b6', 0.875), ('baːh', 'baːh_596a8d5b-6bfc-4eab-af6a-25899b14ff12', 0.875)]"
däk,dʌk,däk_5a08046d-1fe7-4f4c-90da-d3954401cd24,"[('adäk', 'adäk1_774abf52-37f4-472c-9e05-0d6566bafdfe', 0.8571428571428571)]"
karatu,karatu,karatu_5a0df1f2-ad66-44d9-8b7e-ebb5d37aee27,"[('tuʔ', 'tuʔ2_b248ee55-a422-4c2e-80f5-bd1273f20230', 1.0), ('tuʔ', 'tuʔ1_642a1cd9-3436-4208-94d8-0df53611f237', 1.0), ('tu', 'tu_983b21ad-1243-49cf-850f-b9211c029c37', 1.0)]"
