\lx,\ge,\ps,\bb,\ph,\va,\vc,,
ɾãj,espécie de árvore,n,,,,,,
ɾoːɾ,pato,n,,,,,,
ɾṵːɲ,saltitar (iterativo),v,,,,,,
ɾuɲ,pular,v,,,,,,
ʃaːh,sobrinho (pl ʃa̰ːh),n,,,,,,
saah,be.hungry,n,Weir 1994,ʃaːh,,,,
ʃabuːʔ,umbigo,n,,,,,,
ʃaduŋ,liso,n,,,,,,
ʃagõh,estrela,n,,,,,,
sahõnh,all,n? pro?,Weir 1994,ʃahõɲ,,,ʃahõɲ,"Barbosa 2005, todo"
ʃakut,acima,adv?,,,,,,
salãap,measles,n,Weir 1986,ʃaɾãːp,,,,
ʃamɨːj,guariba,n,,,,,,
ʃanãjoːʔ,aranha,n,,,,,,
ʃaɾəːɲ,ingá-cipó,n,,,,,,
ʃaɾiʔ,mucura (gambá),n,,,,mucura titica,,
ʃaɾoːp,cipó,n,,,,,,
ʃaʃ,aracu-branco,n,,,,,,
ʃawiːm,bacaba,n,,,,,,
ʃawɯk,algodão,v,,,,,,
ʃaʔõʃ,assanhaçu,n,,,,,,
ʃɔːp,saltar (pl ʃɔ̰ːp),v,,,,,,
ʃɔːʔ,tirar sorva,n,,,,,,
ʃɔ̰ːʔ,estar sentado,v,,,,,,
ʃɔ̃j,espécie de sapo,n,,,,,,
ʃɔ̃ɟ,espécie de gafanhoto,n,,,,,,
ʃɛ̃ːj,tapioca,n,,,,,,
ʃəːn,cabelo,n,,,,,,
ʃɛ̃ɲ,branco,n,,,,,,
ʃeɾiːʔ/ʃɛɾiːʔ,periquito,n,,,,,,
ʃeʔ,sobrinho,n,,,,,,
ʃɤːw,pajé (pl sɤ̰ːw),n,,,,,,
ʃɤːʔ,camarão,n,,,,,,
ʃḭːʔ,"beliscar (ʃiʔ inf, ʃḭːʔ n.i.)",v,,,,,,
ʃim,partir (hab ʃḭːm),v,,,,,,
ʃoːʔ,espécie de pássaro,n,,,,,,
