entry_id,headword,morph_type,pronunciation,variant_of,these_vars,note,sense,date,date_modified
eboh_479d7d4d-db5a-43de-ab6b-6ec74ab9881e,eboh,stem,eboh,"{'98417052-1b46-4bec-8fe4-035586275105': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ebooh_058fbf01-f274-4cf7-a1c2-8b39c2d69bb1,ebooh,stem,ebo:h,,,{'bibliography': 'SIL 2011'},['98417052-1b46-4bec-8fe4-035586275105'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
edʹoo_9d49d8be-1c00-44f7-aebd-6bc58199553d,edʹoo,stem,edo̰:,,,{'bibliography': 'SIL 2011'},['738bfde9-8123-4d10-80aa-c6d22cac9bdd'],2018-03-08T07:17:52Z,2018-06-20T01:46:10Z
edʹuuk_1613de5c-4b41-4bc5-bfa4-7a967ead6a11,edʹuuk,stem,edṵ:k,,,{'bibliography': 'SIL 2011'},['b986d563-6ca9-49bc-8bcc-867155a5b0e9'],2018-03-08T07:17:53Z,2019-12-21T00:55:14Z
edaa_a88660fb-0dda-4512-a162-a5b314f0bd68,edaa,stem,eda:,"{'1325af38-6628-4e3b-b295-f029ab7dd4f1': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
edaah_c18c1c3c-293f-4cf8-92a4-360e2914fa16,edaah,stem,eda:h,"{'1325af38-6628-4e3b-b295-f029ab7dd4f1': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
edah_ac55eff6-e4fa-45d2-a17d-90446273b3f0,edah,stem,edah,,,{'bibliography': 'SIL 2011'},['1325af38-6628-4e3b-b295-f029ab7dd4f1'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
edas_b9570cff-1945-4547-b57e-71047f8dc573,edas,stem,ʔeˈdaʃ,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['cd5eb76c-c0a8-40be-905c-1cf2da368b56'],2018-03-08T07:17:53Z,2018-07-10T15:50:56Z
edëng_860a5da2-298a-4c6e-a638-812c28b0d9b4,edëng,root,edǝŋ,,,{'bibliography': 'Epps/Obert; Fieldnotes 2019'},['f27b913b-a63b-42c6-a01c-84a178bac997'],2019-12-15T23:11:48Z,2019-12-15T23:13:13Z
edëp_3002897c-a97c-4886-b7e8-355b2d3c9866,edëp,stem,ʔeˈdǝp˺,,,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},['477e6ffe-d8c1-4195-ae84-7a5d6279e634'],2018-07-10T15:43:38Z,2018-07-10T15:44:42Z
edón_0a6e9703-c45e-4f5e-a9ca-9cce168f7c6e,edón,stem,edɔn,"{'5fdb3b75-6a14-4dcc-a9ec-2ce227b9a1bf': {'type': '_component-lexeme', 'variant-type': 'Habitual'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
edoon_d7029ea0-1d77-423d-ab5d-d19e1296fa60,edoon,stem,edo:n,,,{'bibliography': 'SIL 2011'},['5fdb3b75-6a14-4dcc-a9ec-2ce227b9a1bf'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
eduug_a29d5713-9f30-4d79-81a8-adc977ac1a6f,eduug,stem,edu:g,"{'b986d563-6ca9-49bc-8bcc-867155a5b0e9': {'type': '_component-lexeme', 'variant-type': 'Não indicativo'}}",,{'bibliography': 'SIL 2011'},,2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
ee_3721b800-dbe1-4f4c-a11b-ecaeda9dda09,ee,stem,e:,,"{'éé1_b19c52f4-5052-4e8e-9a2d-6a29d18a7b33': {'type': '_component-lexeme', 'variant-type': 'Weir', 'summary': '1986; 1990; father'}}",{'bibliography': 'SIL 2011'},['cf8a0bc5-548b-4c32-86e6-a7ef047f07f1'],2018-03-08T07:17:53Z,2018-06-20T01:46:10Z
éé2_875e56c4-82d8-40d5-8e1c-c1ccfd207727,éé,stem,ʔɛːʔ,,,{'bibliography': 'Weir 1986; Weir 1990'},['af9b2d2b-6e9b-4497-8369-278ff0a21710'],2018-06-20T05:09:54Z,2018-06-20T05:17:30Z
éé1_b19c52f4-5052-4e8e-9a2d-6a29d18a7b33,éé,stem,,"{'ee_3721b800-dbe1-4f4c-a11b-ecaeda9dda09': {'type': '_component-lexeme', 'variant-type': 'Weir', 'summary': '1986; 1990; father'}}",,,,2018-06-20T02:21:05Z,2018-06-20T02:21:28Z
ee t’aah paah_9d0d4be9-51f3-4cda-8783-9f2d038d68c1,ee t’aah paah,phrase,ʔe:ʔ taʔah pa:h,,,{'Note': '[pai-filho-PASS; 2 irmões gemeos]'},['1c9fe5f0-3be0-4d20-8342-30828a0d37c7'],2019-01-14T03:46:55Z,2019-01-14T03:54:30Z
